Watching for file changes with StatReloader
"GET / HTTP/1.1" 200 10629
Not Found: /favicon.ico
"GET /favicon.ico HTTP/1.1" 404 2121
Not Found: /gg
"GET /gg HTTP/1.1" 404 2094
D:\growbinar code\Growbinar-Alpha-Backend\Growbinar_Backend\Growbinar_Backend\settings.py changed, reloading.
DEBUG 2024-04-25 23:22:25,841 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\re\_parser.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,841 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1713712047.704585
DEBUG 2024-04-25 23:22:25,841 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1713712047.3413239
DEBUG 2024-04-25 23:22:25,841 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\xml\dom\NodeFilter.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\forms\__init__.py first seen with mtime 1713712047.472605
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\tempfile.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\xml\dom\__init__.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\asyncio\subprocess.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1713712047.8190596
DEBUG 2024-04-25 23:22:25,843 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1713712046.666767
DEBUG 2024-04-25 23:22:25,844 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\datetime.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,844 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,844 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\__init__.py first seen with mtime 1713712047.4022427
DEBUG 2024-04-25 23:22:25,844 django.utils.autoreload autoreload autoreload.py 394 tick File C:\Users\91984\AppData\Local\Programs\Python\Python311\Lib\email\mime\nonmultipart.py first seen with mtime 1675769062.0
DEBUG 2024-04-25 23:22:25,845 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\backends\ddl_references.py first seen with mtime 1713712047.4044957
DEBUG 2024-04-25 23:22:25,845 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1713712047.4355063
DEBUG 2024-04-25 23:22:25,845 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1713712047.3572707
DEBUG 2024-04-25 23:22:25,845 django.utils.autoreload autoreload autoreload.py 394 tick File D:\growbinar code\Growbinar-Alpha-Backend\env\Lib\site-packages\django\templatetags\static.py first seen with mtime 1713712047.7121453
